"SiteUrl","IsSiteAdmin"
"https://sustainabletimbertasmania.sharepoint.com/teams/SMSTestingV1","Yes"
"https://sustainabletimbertasmania.sharepoint.com/teams/STH","Yes"
"https://sustainabletimbertasmania.sharepoint.com/teams/StrategyDelivery2","No"
"https://sustainabletimbertasmania.sharepoint.com/teams/STT-Deloitte","Yes"
"https://sustainabletimbertasmania.sharepoint.com/teams/sttshare","Yes"
"https://sustainabletimbertasmania.sharepoint.com/teams/SuccessionPathwayCommittee","Yes"
"https://sustainabletimbertasmania.sharepoint.com/teams/Team-Plantations-LOGRRollout","Yes"
"https://sustainabletimbertasmania.sharepoint.com/teams/teamassetmanagementsystem","Yes"
"https://sustainabletimbertasmania.sharepoint.com/teams/teambds","Yes"
"https://sustainabletimbertasmania.sharepoint.com/teams/teamboard","Yes"
"https://sustainabletimbertasmania.sharepoint.com/teams/teambudgetreview","Yes"
"https://sustainabletimbertasmania.sharepoint.com/teams/teambusinesscases","Yes"
"https://sustainabletimbertasmania.sharepoint.com/teams/TeamCadetTraineePathway","Yes"
"https://sustainabletimbertasmania.sharepoint.com/teams/teamciaupgrade","Yes"
"https://sustainabletimbertasmania.sharepoint.com/teams/teamcommunicationsandengagement","Yes"
"https://sustainabletimbertasmania.sharepoint.com/teams/teamcontractsandprocurement","Yes"
"https://sustainabletimbertasmania.sharepoint.com/teams/teamcorporateservices","Yes"
"https://sustainabletimbertasmania.sharepoint.com/teams/teamcpsumembers","Yes"
"https://sustainabletimbertasmania.sharepoint.com/teams/teamcybermanagementproject","Yes"
"https://sustainabletimbertasmania.sharepoint.com/teams/teamcyberresponse","Yes"
"https://sustainabletimbertasmania.sharepoint.com/teams/teamdatastrategy","Yes"
"https://sustainabletimbertasmania.sharepoint.com/teams/teamdatastrategy-businessprocesses","Yes"
"https://sustainabletimbertasmania.sharepoint.com/teams/teamdatastrategy-datamaturity","Yes"
"https://sustainabletimbertasmania.sharepoint.com/teams/teamdiversityandinclusioncommittee","Yes"
"https://sustainabletimbertasmania.sharepoint.com/teams/teamdmc","Yes"
"https://sustainabletimbertasmania.sharepoint.com/teams/teamedmsproject","Yes"
"https://sustainabletimbertasmania.sharepoint.com/teams/teamemissionreductionfundprojects","Yes"
"https://sustainabletimbertasmania.sharepoint.com/teams/teamenterpriseagreement","Yes"
"https://sustainabletimbertasmania.sharepoint.com/teams/TeamESGImplementation","Yes"
"https://sustainabletimbertasmania.sharepoint.com/teams/teamEsriImplementation","Yes"
"https://sustainabletimbertasmania.sharepoint.com/teams/teamfarmc","Yes"
"https://sustainabletimbertasmania.sharepoint.com/teams/teamfieldops","Yes"
"https://sustainabletimbertasmania.sharepoint.com/teams/teamfinancesystemproject","Yes"
"https://sustainabletimbertasmania.sharepoint.com/teams/teamforestvaluation","Yes"
"https://sustainabletimbertasmania.sharepoint.com/teams/teamfppplanning","Yes"
"https://sustainabletimbertasmania.sharepoint.com/teams/TeamFPPReviewProject","Yes"
"https://sustainabletimbertasmania.sharepoint.com/teams/teamgis","Yes"
"https://sustainabletimbertasmania.sharepoint.com/teams/teamgmtmeetings","Yes"
"https://sustainabletimbertasmania.sharepoint.com/teams/teamincidentresponse","Yes"
